datetime,returns,NeweyWest_pval,Bootstrap_pval,BlockBootstrap_pval,Bayesian_pval,rolling_mean
2022-07-12,0.0007909205773282,0.010619274869395179,0.007936507936507936,0.0,0.011143304092818588,0.0017577904644939504
2022-07-13,0.0186157223628608,0.010200195352785824,0.0,0.0,0.010713052360907308,0.0018969337976695224
2022-07-14,-1.83946149494183e-05,0.006542996370717091,0.007936507936507936,0.0,0.007235236520770339,0.0018928454196056176
2022-07-15,6.38489537590024e-05,0.006556545472363062,0.0,0.0,0.007346126832752412,0.0018973914020196454
2022-07-16,0.0,0.006440449912138768,0.0,0.0,0.007221547814078483,0.001864092858920178
2022-07-17,0.0007027936089468,0.007185907892096943,0.0,0.0,0.00812273298181356,0.0017857556203208344
2022-07-18,0.0055142467343699,0.009607163955043796,0.0,0.0,0.010401114295149446,0.0018246758296739795
2022-07-19,0.0009990870581204,0.008284860336004063,0.0,0.015873015873015872,0.00912793354854729,0.0018345708289668207
2022-07-20,0.0,0.007867459825414147,0.0,0.007936507936507936,0.00880674894561831,0.0018955555339313487
2022-07-21,0.0001454922708822,0.005903798120178716,0.0,0.0,0.006868631667889423,0.0018774722098499764
2022-07-22,0.0021734747261322,0.0063504818767133875,0.015873015873015872,0.0,0.007339657207823891,0.0018886386080471892
2022-07-23,0.0,0.006043676754062477,0.0,0.0,0.007046938285120916,0.0019384167624370637
2022-07-24,0.0009560006730315,0.004810868816560676,0.0,0.0,0.005732984229220436,0.0019396879996831143
2022-07-25,0.0022943919165786,0.0047797366325388335,0.0,0.0,0.005705209182723754,0.0019407546301279444
2022-07-26,0.0006807108166703,0.004761992247895974,0.0,0.0,0.005682799737660219,0.0019440263016501605
2022-07-27,0.0012670910929633,0.004664907591385159,0.007936507936507936,0.0,0.005611376186439721,0.0019661390914565333
2022-07-28,0.0001451607578936,0.004205955413061568,0.007936507936507936,0.0,0.005141926623344301,0.0020072459136738926
2022-07-29,0.0,0.003616486333725022,0.0,0.0,0.004315749899825913,0.001972057740103636
