datetime,Close,Volume,funding_rate
,ETH-USD,ETH-USD,
2022-12-21,1213.5999755859375,4217182733,6.588666666666667e-05
2022-12-22,1218.18212890625,5297471739,8.874333333333333e-05
2022-12-23,1220.159423828125,4835831923,5.58e-05
2022-12-24,1221.1485595703125,2626153345,5.764666666666667e-05
2022-12-25,1218.9620361328125,3942720070,3.3333333333333337e-06
2022-12-26,1226.974365234375,3282098400,3.526333333333333e-05
2022-12-27,1212.7916259765625,4091530737,6.590666666666667e-05
2022-12-28,1189.986083984375,4991669631,4.633666666666667e-05
2022-12-29,1201.5953369140625,4132233940,8.611666666666667e-05
2022-12-30,1199.2327880859375,4055668253,0.0001
2022-12-31,1196.771240234375,3018513333,0.0001
2023-01-01,1200.96484375,2399674550,0.0001
2023-01-02,1214.6566162109375,3765758498,8.780666666666666e-05
2023-01-03,1214.77880859375,3392972131,3.0220000000000002e-05
2023-01-04,1256.526611328125,6404416893,9.203e-05
2023-01-05,1250.4385986328125,4001786456,0.0001
2023-01-06,1269.3790283203125,4977252792,0.0001
2023-01-07,1264.2703857421875,2565213548,0.0001
2023-01-08,1287.3594970703125,3495088905,6.538e-05
2023-01-09,1321.5389404296875,7990438824,7.309666666666667e-05
2023-01-10,1336.5860595703125,5830173253,0.0001
2023-01-11,1387.9327392578125,6314904311,7.592666666666667e-05
2023-01-12,1417.9384765625,12230193038,0.0001
2023-01-13,1451.6148681640625,7684148212,0.0001
2023-01-14,1550.7069091796875,15444626014,0.00039197999999999994
2023-01-15,1552.4794921875,6774614499,0.00020572000000000003
2023-01-16,1576.83349609375,8454485431,0.00011394333333333334
2023-01-17,1567.8460693359375,7599462786,0.0001
2023-01-18,1515.5069580078125,10354880595,0.0001
2023-01-19,1552.5565185546875,6432638856,0.0001
2023-01-20,1659.754150390625,8528894754,0.0001
2023-01-21,1627.1181640625,8859250310,0.0001
2023-01-22,1628.382080078125,7517988734,0.0001
2023-01-23,1628.2510986328125,8264507375,0.00010118666666666667
2023-01-24,1556.604248046875,8180274691,0.0001
2023-01-25,1611.7110595703125,10598973448,0.0001
2023-01-26,1603.10595703125,8395315241,0.0001
2023-01-27,1598.156494140625,8124465373,0.0001
2023-01-28,1572.43505859375,5803653357,0.0001
2023-01-29,1646.1556396484375,8801292300,0.0001
2023-01-30,1567.3265380859375,9180418120,0.0001
2023-01-31,1586.535400390625,6585191019,0.0001
2023-02-01,1641.792724609375,8116969489,0.0001
2023-02-02,1643.2415771484375,10558081069,0.0001
2023-02-03,1664.74560546875,8169519805,0.0001
2023-02-04,1667.0592041015625,5843302512,0.0001
2023-02-05,1631.6458740234375,6926696531,0.0001
2023-02-06,1616.2470703125,6919871886,0.0001
2023-02-07,1672.0035400390625,8030277434,0.0001
2023-02-08,1650.716796875,7806089579,0.0001
2023-02-09,1546.438232421875,10524969124,0.0001
2023-02-10,1514.869140625,8397387897,8.942666666666668e-05
2023-02-11,1539.9267578125,5064007416,2.4413333333333332e-05
2023-02-12,1515.03369140625,5319698775,5.5576666666666666e-05
2023-02-13,1507.1658935546875,9363855114,6.183000000000001e-05
2023-02-14,1556.8751220703125,9249575045,3.087333333333333e-05
2023-02-15,1673.7459716796875,10015035156,3.811666666666667e-05
2023-02-16,1640.067626953125,12704861676,0.00011367
2023-02-17,1694.7833251953125,9802443159,0.0001
2023-02-18,1691.8194580078125,5491437195,0.0001
2023-02-19,1681.4361572265625,6959144003,0.0001
2023-02-20,1702.6751708984375,7703604237,0.0001
2023-02-21,1658.036376953125,8721608198,0.0001
2023-02-22,1643.231689453125,9189387004,0.0001
2023-02-23,1651.0738525390625,9013236167,7.091666666666666e-05
2023-02-24,1608.3731689453125,8909129423,6.199333333333335e-05
2023-02-25,1594.9149169921875,5657686235,7.686666666666666e-05
2023-02-26,1640.817138671875,5727967432,2.3493333333333334e-05
2023-02-27,1634.326416015625,7239824677,8.219333333333332e-05
2023-02-28,1605.8951416015625,6323676957,5.248666666666667e-05
2023-03-01,1663.4337158203125,7701847224,6.780666666666666e-05
2023-03-02,1647.3193359375,7080950926,9.248666666666666e-05
2023-03-03,1569.1676025390625,9922240199,1.778e-05
2023-03-04,1566.9239501953125,4389045367,3.579333333333333e-05
2023-03-05,1564.46875,5020886238,4.589333333333333e-05
2023-03-06,1567.398681640625,5245153345,5.103e-05
2023-03-07,1561.93310546875,6854058349,4.623333333333334e-05
2023-03-08,1534.0882568359375,7130327525,7.886333333333334e-05
2023-03-09,1438.6607666015625,9457897583,6.775333333333333e-05
2023-03-10,1429.1580810546875,12665194936,6.775333333333333e-05
2023-03-11,1482.61669921875,14917080154,5.690000000000001e-06
2023-03-12,1590.29296875,11480965122,1.1060000000000004e-05
2023-03-13,1680.3089599609375,15711468959,0.0001
2023-03-14,1703.507080078125,16159781303,0.0001
2023-03-15,1656.1805419921875,12715339905,0.00020031333333333333
2023-03-16,1677.2154541015625,9364980166,0.0001
2023-03-17,1792.485107421875,12467445117,7.301666666666668e-05
2023-03-18,1761.65966796875,10317822213,0.0001
2023-03-19,1785.5765380859375,9170565472,0.0001
2023-03-20,1735.3212890625,10978325507,9.398e-05
2023-03-21,1806.7607421875,10758627746,6.902333333333334e-05
2023-03-22,1737.717041015625,12484103560,3.984333333333333e-05
2023-03-23,1816.4051513671875,11012966854,5.994333333333334e-05
2023-03-24,1752.0447998046875,10913669383,0.0001
2023-03-25,1743.7647705078125,6614309912,8.856666666666666e-06
2023-03-26,1775.6767578125,6990313307,2.0696666666666664e-05
2023-03-27,1715.4608154296875,8585750760,3.596666666666667e-06
2023-03-28,1772.78564453125,8346890042,2.8576666666666664e-05
2023-03-29,1793.0018310546875,9136176952,9.194666666666667e-05
2023-03-30,1792.7371826171875,9724496987,3.689e-05
2023-03-31,1822.0220947265625,9149379763,8.061666666666667e-05
2023-04-01,1813.860595703125,5556443606,8.768666666666667e-05
2023-04-02,1795.7081298828125,6199721188,4.1693333333333336e-05
2023-04-03,1810.297119140625,9643826401,-1.7896666666666664e-05
2023-04-04,1871.005126953125,10398322335,6.532666666666667e-05
2023-04-05,1909.114013671875,10319231689,8.951e-05
2023-04-06,1872.922607421875,8263191830,3.826333333333333e-05
