datetime,close,Volume,funding_rate,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2022-01-31,38483.125,20734730465,8.392000000000001e-05,0.014804408066392667,-0.09635366569864694,,0.44721992892063195,40.290303642637376,-9.185721968385058,-493.9000117998294,-1049.759290474819,555.8592786749896,0.03638453365760947,,,,,,,,,,,,,,,,,,,-7827383745.44136,1822.9884847211324,-838.7814688972676,-556.7072665071311,433.8285678732391,-893.0786844666255,346.15746643692796
2022-02-01,38743.2734375,20288500328,-1.3809999999999998e-05,0.006737318502634114,-0.07460643675314206,,0.7228900626293485,42.250566439271665,-7.189131607325397,-306.43838427466835,-901.0951092347889,594.6567249601205,0.03650581972273104,,,,,,,,,,,,,,,,,,,-8273613882.441135,2340.2457955930186,-792.6615506743738,-359.67185957424044,475.42471991837726,-809.5723813729533,255.2206835536415
2022-02-02,36952.984375,19155189416,3.216e-05,-0.04731073995912287,-0.09610043361666117,,1.3129671001800225,33.94284818558471,-9.162721967638952,-434.91385046234063,-807.8588574802993,372.9450070179587,0.03794915052072309,,,,,,,,,,,,,,,,,,,-9406924794.441963,1203.2771910730298,-565.2959837362268,-460.5848178765858,271.2438645319632,-672.9313374996507,284.113493620362
2022-02-03,37154.6015625,18591534769,-2.693666666666667e-05,0.005441215831991581,0.01894546513077039,,0.42707717715321364,35.4903821621957,1.9126069195001476,-467.01825805836415,-739.6907375959124,272.67247953754827,0.02232501165704481,,,,31.909480177405456,,-1900.8702426766395,,,,,,,,,,,,,-9970579441.44183,1648.3864049208278,-1371.453913440214,-930.1148545471597,742.1056704225164,125.39401992087936,-605.4556564293292
2022-02-04,41500.875,29412210792,9.636666666666669e-06,0.11062688345744714,0.16950253742786417,,0.6237596961017298,58.30305543862281,18.471535315905538,153.28415726277308,-561.0957586241753,714.3799158869484,0.034691840730125774,-0.13894038081313792,,0.10052849466250237,46.80340924589392,-12.972008770768648,-1631.5769191375366,,,0.03402911204045764,,,,,,,,,,850096581.5588875,-149.54148004128,-1905.003739885893,-334.091003114572,1109.4858384867832,7.714221862560386,-724.4876694689494
2022-02-05,41441.1640625,19652846215,9.152333333333336e-05,-0.0014398234837348135,0.13309614016294785,,0.9564595977110023,57.99780085884801,14.235981971089911,518.274516091522,-345.2217036810359,863.4962197725579,0.034240719878834015,-0.133191149896851,,0.16312840567211076,46.658945333992456,-12.470223696030553,-1398.7467435340513,,,0.03402751207018784,,,,,,,,,,-8909267995.439552,5349.192082975365,-1414.4582355089615,152.97540270111128,1162.8120537415086,-8.515056852393293,-782.7446549173882
2022-02-06,42412.43359375,16142097334,0.0001,0.02316687651757865,0.14591004957382758,,0.36057061501867926,61.545643903041054,15.709210244185865,859.3367293859992,-104.31001706762885,963.6467464536281,0.034428223284974385,-0.09110963668350873,,0.17026449733475738,49.2825026086714,-8.708238384741364,-1142.3142296367805,,,0.03423020017890774,,,,,,,,,,-12420016876.43842,8327.053340735223,-1202.6834969815754,592.8862839321139,1174.9410688555377,9.494968176171497,-824.7617295535188
2022-02-07,43840.28515625,28641855926,-9.586666666666667e-06,0.033111582709537346,0.1708791454564137,,0.15890023614872997,66.10527665496826,18.63473648882558,1237.0541554586962,163.96281743763618,1073.09133802106,0.034934761358333205,-0.04585911931011047,,0.17830917234133617,52.79883515880787,-4.482348136079836,-843.0879163331265,,,0.034727350369114764,,,,,,,,,,79741715.56039047,2673.6062555734425,-1474.1686546815454,964.1746309661565,1239.4737916701258,59.84463180169759,-858.7141033449864
2022-02-08,44118.4453125,33079398868,0.0001,0.006324808965338507,0.17996477887131784,,0.039995595691989044,66.93275437470183,19.71751965175851,1457.5548812752968,422.6812302051683,1034.8736510701285,0.034679999818647306,0.01253197811004093,,0.12194873084372661,53.4466632527407,1.261083240351938,-571.9430109328678,,,0.0335676489528899,,,,,,,,,,4517284657.559849,449.80312979598966,-1425.577174971906,1240.7818380301035,1145.8022523732088,148.55763685459436,-851.9736432972309
2022-02-09,44338.796875,23245887300,6.387333333333332e-05,0.00498211368199733,0.17721305466252912,,0.06361597384587253,67.61133366326062,19.38854288896172,1564.5420843252505,651.0534010291848,913.4886832960657,0.03472876099105945,0.02692438909562787,,0.10983606004967585,53.96237398804423,2.729012549146101,-329.17438359942753,,,0.03353132343442935,,,,,,,,,,-5316226910.438427,6265.773584584498,-992.1797752665807,1513.2489644547486,924.3685451341564,224.40816427935022,-819.2781033581382
2022-02-10,43565.11328125,32142048537,6.067000000000001e-05,-0.01760339378138894,0.1423621557907252,,0.07009076276444216,62.71591644543502,15.299413643779472,1455.659365276224,811.9745938785926,643.6847713976314,0.03575632182830466,0.04716898396461409,,0.08222777560551509,51.88318385016426,4.829913985785834,-165.37550966458366,,,0.03299992211061085,,,,,,,,,,3579934326.5597115,454.5061850685961,-1075.7882803960465,1416.5861995525665,653.7200715667783,378.056761619327,-729.5732461598778
2022-02-11,42407.9375,26954925781,-2.9953333333333337e-05,-0.026921126055171853,0.10611967799634352,,0.1315214895730558,56.1307180921473,11.195494508353363,1164.2709821992248,882.4338715427191,281.83711065650573,0.03727462530024454,0.016020809576845593,,0.09213763434242206,48.97527387311313,1.614983083407175,-89.49720662686741,-749.6702914948897,660.1730848680223,0.03334920791238915,,,,,,,,,,-1607188429.4401321,2217.6163694907736,-1102.341133095666,1425.0346755730031,542.9837698684164,938.7399760345711,132.57885146967737
